LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP,Flag Codes,Lookup Area,Lookup M49,Lookup iso,Area Code,Area Code (M49),Area,eu_member,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,YEAR,wheat_PPI,YEAR_INT
AUT,GDP,TOT,USD_CAP,A,2000,29380.03111,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,85.69,2000
AUT,GDP,TOT,USD_CAP,A,2001,29707.462264,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,82.98,2001
AUT,GDP,TOT,USD_CAP,A,2002,31178.051444,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,75.97,2002
AUT,GDP,TOT,USD_CAP,A,2003,32158.225907,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,83.72,2003
AUT,GDP,TOT,USD_CAP,A,2004,33784.432645,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,68.22,2004
AUT,GDP,TOT,USD_CAP,A,2005,35024.557484,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,63.57,2005
AUT,GDP,TOT,USD_CAP,A,2006,37659.840674,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,81.4,2006
AUT,GDP,TOT,USD_CAP,A,2007,39436.420128,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,146.51,2007
AUT,GDP,TOT,USD_CAP,A,2008,41316.022642,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,104.65,2008
AUT,GDP,TOT,USD_CAP,A,2009,40929.336746,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,70.54,2009
AUT,GDP,TOT,USD_CAP,A,2010,42020.550637,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2010,142.64,2010
AUT,GDP,TOT,USD_CAP,A,2011,44469.209642,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2011,121.71,2011
AUT,GDP,TOT,USD_CAP,A,2012,46477.655075,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2012,163.57,2012
AUT,GDP,TOT,USD_CAP,A,2013,47936.677963,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2013,114.73,2013
AUT,GDP,TOT,USD_CAP,A,2014,48813.534409,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2014,104.65,2014
AUT,GDP,TOT,USD_CAP,A,2015,49942.056293,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2015,106.2,2015
AUT,GDP,TOT,USD_CAP,A,2016,52665.087457,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2016,89.15,2016
AUT,GDP,TOT,USD_CAP,A,2017,54188.360666,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2017,112.4,2017
AUT,GDP,TOT,USD_CAP,A,2018,56956.110562,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2018,119.38,2018
AUT,GDP,TOT,USD_CAP,A,2019,59719.331647,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2019,113.18,2019
AUT,GDP,TOT,USD_CAP,A,2020,57253.300563,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2020,107.75,2020
AUT,GDP,TOT,USD_CAP,A,2021,59976.264665,,Austria,40.0,AUT,11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2021,102.33,2021
BEL,GDP,TOT,USD_CAP,A,2000,27789.053506,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2000,73.31,2000
BEL,GDP,TOT,USD_CAP,A,2001,28791.405838,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2001,71.98,2001
BEL,GDP,TOT,USD_CAP,A,2002,30281.667989,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2002,65.62,2002
BEL,GDP,TOT,USD_CAP,A,2003,30934.598585,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2003,74.23,2003
BEL,GDP,TOT,USD_CAP,A,2004,32063.673796,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2004,72.91,2004
BEL,GDP,TOT,USD_CAP,A,2005,33176.680884,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2005,60.98,2005
BEL,GDP,TOT,USD_CAP,A,2006,35253.923288,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2006,80.73,2006
BEL,GDP,TOT,USD_CAP,A,2007,36794.234201,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2007,118.58,2007
BEL,GDP,TOT,USD_CAP,A,2008,37883.233422,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2008,113.41,2008
BEL,GDP,TOT,USD_CAP,A,2009,37753.276269,,Belgium,56.0,BEL,255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y2009,73.24,2009
