Area Code,Area Code (M49),Area,eu_member,Item Code,Item Code (CPC),Item,Element Code,Element,Months Code,Months,Unit,YEAR,wheat_PPI
2,'004,Afghanistan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,17.96
3,'008,Albania,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
4,'012,Algeria,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,12.0
9,'032,Argentina,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,4.07
1,'051,Armenia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
10,'036,Australia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,44.34
11,'040,Austria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,195.6
52,'031,Azerbaijan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
16,'050,Bangladesh,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,28.32
57,'112,Belarus,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
255,'056,Belgium,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
18,'064,Bhutan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,9.09
19,'068,Bolivia (Plurinational State of),0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,25.41
80,'070,Bosnia and Herzegovina,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
21,'076,Brazil,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,0.0
27,'100,Bulgaria,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
29,'108,Burundi,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,36.78
32,'120,Cameroon,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,31.18
33,'124,Canada,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,43.95
39,'148,Chad,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
40,'152,Chile,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,49.19
41,'156,"China, mainland",0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,25.47
44,'170,Colombia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,19.53
98,'191,Croatia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
50,'196,Cyprus,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,81.5
167,'203,Czechia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
54,'208,Denmark,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,111.66
58,'218,Ecuador,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,1.79
59,'818,Egypt,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,18.04
178,'232,Eritrea,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
63,'233,Estonia,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
238,'231,Ethiopia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
67,'246,Finland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,229.11
68,'250,France,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,109.84
73,'268,Georgia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
79,'276,Germany,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,96.25
84,'300,Greece,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,74.14
95,'340,Honduras,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,22.13
97,'348,Hungary,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,12.05
100,'356,India,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,21.17
101,'360,Indonesia,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
102,'364,Iran (Islamic Republic of),0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,1.19
103,'368,Iraq,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
104,'372,Ireland,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,94.11
105,'376,Israel,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,47.09
106,'380,Italy,1,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,100.08
110,'392,Japan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,527.84
112,'400,Jordan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,37.48
108,'398,Kazakhstan,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,
114,'404,Kenya,0,15,'0111,Wheat,5539,Producer Price Index (2014-2016 = 100),7021,Annual value,,Y1991,13.92
