,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,LOCATION,EU
1,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2018,2018,ha,6740.0,A,Official figure,AUT,1.0
2,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2019,2019,ha,6590.0,A,Official figure,AUT,1.0
3,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2020,2020,ha,6430.0,A,Official figure,AUT,1.0
4,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2018,2018,hg/ha,575593.0,E,Estimated value,AUT,1.0
5,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2019,2019,hg/ha,362989.0,E,Estimated value,AUT,1.0
6,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2020,2020,hg/ha,401586.0,E,Estimated value,AUT,1.0
7,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2017,2017,tonnes,185244.0,A,Official figure,AUT,1.0
8,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2018,2018,tonnes,387950.0,A,Official figure,AUT,1.0
9,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2019,2019,tonnes,239210.0,A,Official figure,AUT,1.0
10,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2020,2020,tonnes,258220.0,A,Official figure,AUT,1.0
11,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2017,2017,ha,788.0,A,Official figure,AUT,1.0
12,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2018,2018,ha,830.0,A,Official figure,AUT,1.0
13,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2019,2019,ha,820.0,A,Official figure,AUT,1.0
14,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2020,2020,ha,830.0,A,Official figure,AUT,1.0
15,QCL,Crops and livestock products,40,Austria,5419,Yield,1343,Apricots,2017,2017,hg/ha,82284.0,E,Estimated value,AUT,1.0
