,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,LOCATION,EU
1104,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2017,2017,ha,,A,Official figure,AUT,1.0
1105,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2018,2018,ha,6740.0,A,Official figure,AUT,1.0
1106,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2019,2019,ha,6590.0,A,Official figure,AUT,1.0
1107,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1341,Apples,2020,2020,ha,6430.0,A,Official figure,AUT,1.0
1108,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2018,2018,hg/ha,575593.0,E,Estimated value,AUT,1.0
1109,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2019,2019,hg/ha,362989.0,E,Estimated value,AUT,1.0
1110,QCL,Crops and livestock products,40,Austria,5419,Yield,1341,Apples,2020,2020,hg/ha,401586.0,E,Estimated value,AUT,1.0
1111,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2017,2017,tonnes,185244.0,A,Official figure,AUT,1.0
1112,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2018,2018,tonnes,387950.0,A,Official figure,AUT,1.0
1113,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2019,2019,tonnes,239210.0,A,Official figure,AUT,1.0
1114,QCL,Crops and livestock products,40,Austria,5510,Production,1341,Apples,2020,2020,tonnes,258220.0,A,Official figure,AUT,1.0
1115,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2017,2017,ha,788.0,A,Official figure,AUT,1.0
1116,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2018,2018,ha,830.0,A,Official figure,AUT,1.0
1117,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2019,2019,ha,820.0,A,Official figure,AUT,1.0
1118,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1343,Apricots,2020,2020,ha,830.0,A,Official figure,AUT,1.0
1119,QCL,Crops and livestock products,40,Austria,5419,Yield,1343,Apricots,2017,2017,hg/ha,82284.0,E,Estimated value,AUT,1.0
1120,QCL,Crops and livestock products,40,Austria,5419,Yield,1343,Apricots,2018,2018,hg/ha,112169.0,E,Estimated value,AUT,1.0
1121,QCL,Crops and livestock products,40,Austria,5419,Yield,1343,Apricots,2019,2019,hg/ha,140366.0,E,Estimated value,AUT,1.0
1122,QCL,Crops and livestock products,40,Austria,5419,Yield,1343,Apricots,2020,2020,hg/ha,19036.0,E,Estimated value,AUT,1.0
1123,QCL,Crops and livestock products,40,Austria,5510,Production,1343,Apricots,2017,2017,tonnes,6484.0,A,Official figure,AUT,1.0
1124,QCL,Crops and livestock products,40,Austria,5510,Production,1343,Apricots,2018,2018,tonnes,9310.0,A,Official figure,AUT,1.0
1125,QCL,Crops and livestock products,40,Austria,5510,Production,1343,Apricots,2019,2019,tonnes,11510.0,A,Official figure,AUT,1.0
1126,QCL,Crops and livestock products,40,Austria,5510,Production,1343,Apricots,2020,2020,tonnes,1580.0,A,Official figure,AUT,1.0
1127,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1211,Asparagus,2017,2017,ha,813.0,A,Official figure,AUT,1.0
1128,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1211,Asparagus,2018,2018,ha,820.0,A,Official figure,AUT,1.0
1129,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1211,Asparagus,2019,2019,ha,830.0,A,Official figure,AUT,1.0
1130,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1211,Asparagus,2020,2020,ha,740.0,A,Official figure,AUT,1.0
1131,QCL,Crops and livestock products,40,Austria,5419,Yield,1211,Asparagus,2017,2017,hg/ha,37368.0,E,Estimated value,AUT,1.0
1132,QCL,Crops and livestock products,40,Austria,5419,Yield,1211,Asparagus,2018,2018,hg/ha,37561.0,E,Estimated value,AUT,1.0
1133,QCL,Crops and livestock products,40,Austria,5419,Yield,1211,Asparagus,2019,2019,hg/ha,40000.0,E,Estimated value,AUT,1.0
1134,QCL,Crops and livestock products,40,Austria,5419,Yield,1211,Asparagus,2020,2020,hg/ha,34189.0,E,Estimated value,AUT,1.0
1135,QCL,Crops and livestock products,40,Austria,5510,Production,1211,Asparagus,2017,2017,tonnes,3038.0,A,Official figure,AUT,1.0
1136,QCL,Crops and livestock products,40,Austria,5510,Production,1211,Asparagus,2018,2018,tonnes,3080.0,A,Official figure,AUT,1.0
1137,QCL,Crops and livestock products,40,Austria,5510,Production,1211,Asparagus,2019,2019,tonnes,3320.0,A,Official figure,AUT,1.0
1138,QCL,Crops and livestock products,40,Austria,5510,Production,1211,Asparagus,2020,2020,tonnes,2530.0,A,Official figure,AUT,1.0
1139,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1311,Avocados,2018,2018,ha,0.0,A,Official figure,AUT,1.0
1140,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1311,Avocados,2019,2019,ha,0.0,A,Official figure,AUT,1.0
1141,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1311,Avocados,2020,2020,ha,0.0,A,Official figure,AUT,1.0
1142,QCL,Crops and livestock products,40,Austria,5510,Production,1311,Avocados,2018,2018,tonnes,0.0,A,Official figure,AUT,1.0
1143,QCL,Crops and livestock products,40,Austria,5510,Production,1311,Avocados,2019,2019,tonnes,0.0,A,Official figure,AUT,1.0
1144,QCL,Crops and livestock products,40,Austria,5510,Production,1311,Avocados,2020,2020,tonnes,0.0,A,Official figure,AUT,1.0
1145,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1312,Bananas,2018,2018,ha,0.0,A,Official figure,AUT,1.0
1146,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1312,Bananas,2019,2019,ha,0.0,A,Official figure,AUT,1.0
1147,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1312,Bananas,2020,2020,ha,0.0,A,Official figure,AUT,1.0
1148,QCL,Crops and livestock products,40,Austria,5510,Production,1312,Bananas,2018,2018,tonnes,0.0,A,Official figure,AUT,1.0
1149,QCL,Crops and livestock products,40,Austria,5510,Production,1312,Bananas,2019,2019,tonnes,0.0,A,Official figure,AUT,1.0
1150,QCL,Crops and livestock products,40,Austria,5510,Production,1312,Bananas,2020,2020,tonnes,0.0,A,Official figure,AUT,1.0
1151,QCL,Crops and livestock products,40,Austria,5312,Area harvested,115,Barley,2017,2017,ha,138903.0,A,Official figure,AUT,1.0
1152,QCL,Crops and livestock products,40,Austria,5312,Area harvested,115,Barley,2018,2018,ha,139270.0,A,Official figure,AUT,1.0
1153,QCL,Crops and livestock products,40,Austria,5312,Area harvested,115,Barley,2019,2019,ha,137240.0,A,Official figure,AUT,1.0
1154,QCL,Crops and livestock products,40,Austria,5312,Area harvested,115,Barley,2020,2020,ha,134800.0,A,Official figure,AUT,1.0
1155,QCL,Crops and livestock products,40,Austria,5419,Yield,115,Barley,2017,2017,hg/ha,56300.0,E,Estimated value,AUT,1.0
1156,QCL,Crops and livestock products,40,Austria,5419,Yield,115,Barley,2018,2018,hg/ha,49618.0,E,Estimated value,AUT,1.0
1157,QCL,Crops and livestock products,40,Austria,5419,Yield,115,Barley,2019,2019,hg/ha,60342.0,E,Estimated value,AUT,1.0
1158,QCL,Crops and livestock products,40,Austria,5419,Yield,115,Barley,2020,2020,hg/ha,64159.0,E,Estimated value,AUT,1.0
1159,QCL,Crops and livestock products,40,Austria,5510,Production,115,Barley,2017,2017,tonnes,782029.0,A,Official figure,AUT,1.0
1160,QCL,Crops and livestock products,40,Austria,5510,Production,115,Barley,2018,2018,tonnes,691030.0,A,Official figure,AUT,1.0
1161,QCL,Crops and livestock products,40,Austria,5510,Production,115,Barley,2019,2019,tonnes,828130.0,A,Official figure,AUT,1.0
1162,QCL,Crops and livestock products,40,Austria,5510,Production,115,Barley,2020,2020,tonnes,864860.0,A,Official figure,AUT,1.0
1163,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1701,"Beans, dry",2017,2017,ha,,M,"Missing value (data cannot exist, not applicable)",AUT,1.0
1164,QCL,Crops and livestock products,40,Austria,5312,Area harvested,1701,"Beans, dry",2018,2018,ha,,A,Official figure,AUT,1.0
1165,QCL,Crops and livestock products,40,Austria,5510,Production,1701,"Beans, dry",2017,2017,tonnes,,M,"Missing value (data cannot exist, not applicable)",AUT,1.0
1166,QCL,Crops and livestock products,40,Austria,5510,Production,1701,"Beans, dry",2018,2018,tonnes,,A,Official figure,AUT,1.0
1167,QCL,Crops and livestock products,40,Austria,5510,Production,24310.01,"Beer of barley, malted",2017,2017,tonnes,967932.0,A,Official figure,AUT,1.0
1168,QCL,Crops and livestock products,40,Austria,5510,Production,24310.01,"Beer of barley, malted",2018,2018,tonnes,979687.0,A,Official figure,AUT,1.0
