Area,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Austria,186.64,187.32,173.96,87.94,99.32,85.86,85.18,84.78,85.69,82.98,75.97,83.72,68.22,63.57,81.4,146.51,104.65,70.54,142.64,121.71,163.57,114.73,104.65,106.2,89.15,112.4,119.38,113.18,107.75,102.33
Belgium,,,,,,,,,73.31,71.98,65.62,74.23,72.91,60.98,80.73,118.58,113.41,73.24,103.27,131.47,148.0,131.71,109.25,102.34,88.41,93.7,110.42,103.35,115.65,119.2
Bulgaria,,,,,,,45.36,48.66,65.44,70.47,54.37,69.13,79.54,51.68,60.41,100.01,105.04,70.47,81.88,109.74,135.58,105.71,105.38,102.34,92.29,100.95,102.25,99.84,110.01,116.45
Croatia,4.61,54.92,85.17,78.68,101.16,100.43,95.22,85.99,81.33,88.19,84.62,91.57,93.21,85.17,77.77,96.5,138.91,76.67,105.73,127.76,127.5,102.58,110.09,105.96,83.95,94.75,99.02,101.58,96.01,90.51
Cyprus,81.5,81.5,85.26,88.4,89.02,89.02,88.4,91.53,91.53,90.9,95.92,91.53,63.95,60.81,63.32,68.96,165.04,136.43,63.45,97.56,93.15,89.49,94.62,90.95,114.43,79.95,95.46,84.13,90.26,94.19
Czechia,,69.39,62.79,58.18,82.55,92.69,81.18,65.62,80.1,92.6,80.03,79.46,91.82,64.7,72.96,99.1,112.97,64.61,74.66,110.23,113.76,120.31,117.58,97.21,85.21,87.98,94.2,100.28,96.53,101.03
Denmark,114.28,96.39,89.59,88.19,84.7,78.42,73.97,73.02,77.55,77.12,68.13,69.7,82.18,65.86,71.45,107.91,132.07,79.03,85.84,126.05,134.52,133.38,108.17,100.23,91.6,97.09,109.57,116.98,108.17,119.08
Estonia,60.01,49.34,48.55,53.73,74.19,74.01,49.87,42.14,66.51,64.75,67.03,70.5,71.33,63.96,86.3,137.05,72.83,72.26,125.94,114.18,156.36,118.05,105.34,100.59,94.07,95.79,112.95,100.82,109.36,110.96
Finland,225.2,225.3,219.33,90.0,93.6,90.62,87.63,84.75,82.48,81.04,80.82,77.14,73.47,64.9,67.96,97.96,115.71,80.82,90.0,120.61,124.29,124.9,104.08,103.47,92.45,97.35,122.45,112.65,104.69,116.94
France,105.8,82.9,82.01,83.49,81.33,76.43,68.8,69.86,65.84,69.97,63.05,74.12,62.41,60.53,78.72,122.61,93.93,72.42,120.43,125.14,143.69,119.17,105.47,100.92,93.61,90.57,106.93,106.02,113.61,121.19
